4/1/2020,47593,15473,3036
4/2/2020,50468,16711,3160
4/3/2020,53183,17935,3294
4/4/2020,55743,19736,3452
4/5/2020,58226,19736,3603
4/6/2020,60500,24236,3739
4/7/2020,62589,27039,3872
4/8/2020,64586,29812,3993
4/9/2020,66220,32309,4110
4/10/2020,68192,35465,4232
4/11/2020,70029,41947,4357
4/12/2020,71686,43894,4474
4/13/2020,73303,45983,4585
4/14/2020,74877,48129,4683
4/15/2020,76389,49933,4777
4/16/2020,77995,52229,4869
4/17/2020,79494,54064,4958
4/18/2020,80868,55987,5031
4/19/2020,82211,57023,5118
4/20/2020,83505,59273,5209
4/21/2020,84802,60965,5297
4/22/2020,85996,63113,5391
4/23/2020,87026,64843,5481
4/24/2020,88194,66599,5574
4/25/2020,89328,68193,5650
4/26/2020,90481,69657,5710
4/27/2020,91472,70933,5806
4/28/2020,92584,72439,5877
